n,x,y,z,steps,solved,run_id
183041,45761,2792046628,"=""34240953457995116""",228,True,24c3a5d73ed1
183049,,,,500000,False,24c3a5d73ed1
183065,45767,2792778620,"=""4679767449404684020""",2,True,24c3a5d73ed1
183073,45769,2793022716,"=""2127538876868436372""",4,True,24c3a5d73ed1
183089,45773,2793511100,"=""46542964994698900""",168,True,24c3a5d73ed1
183097,45775,2793755060,"=""4683040398371607100""",2,True,24c3a5d73ed1
183113,45779,2794243376,"=""231914731195455952""",34,True,24c3a5d73ed1
183121,45781,2794487506,"=""1378087130356706618""",6,True,24c3a5d73ed1
183137,45785,2794975850,"=""4687133998454957650""",2,True,24c3a5d73ed1
183145,45787,2795220040,"=""4687953040415340920""",2,True,24c3a5d73ed1
183161,45791,2795708454,"=""2131632477140765214""",4,True,24c3a5d73ed1
183169,45793,2795952676,"=""2132004915321745772""",4,True,24c3a5d73ed1
183185,45797,2796441150,"=""4692049860451552350""",2,True,24c3a5d73ed1
183193,45799,2796685412,"=""809115441378515596""",10,True,24c3a5d73ed1
183209,45803,2797173948,"=""1380738014032809588""",6,True,24c3a5d73ed1
183217,45805,2797418230,"=""4695329249324381510""",2,True,24c3a5d73ed1
183233,45809,2797907462,"=""12432426263895526""",630,True,24c3a5d73ed1
183241,45811,2798151158,"=""1021258680204032446""",8,True,24c3a5d73ed1
183257,45815,2798639820,"=""4699430902455139620""",2,True,24c3a5d73ed1
183265,45817,2798884170,"=""4700251555447069170""",2,True,24c3a5d73ed1
183281,45821,2799381628,897893259036116,8728,True,24c3a5d73ed1
183289,,,,500000,False,24c3a5d73ed1
183305,45827,2800106080,"=""4704356432751673760""",2,True,24c3a5d73ed1
183313,45829,2800350512,"=""398743878050089936""",20,True,24c3a5d73ed1
183329,45833,2800854630,513477878463270,15278,True,24c3a5d73ed1
183337,45835,2801083800,"=""4707642269972380200""",2,True,24c3a5d73ed1
183353,45839,2801572730,"=""1023757792174034170""",8,True,24c3a5d73ed1
183361,,,,500000,False,24c3a5d73ed1
183377,45845,2802306190,"=""4711751986705083470""",2,True,24c3a5d73ed1
183385,45847,2802550700,"=""4712574252839743300""",2,True,24c3a5d73ed1
183401,45851,2803040004,"=""30973847120840364""",254,True,24c3a5d73ed1
183409,,,,500000,False,24c3a5d73ed1
183425,45857,2803773410,"=""4716687197970043450""",2,True,24c3a5d73ed1
183433,45859,2804017986,"=""2144322778780935522""",4,True,24c3a5d73ed1
183449,45863,2804507282,"=""65726413029401026""",120,True,24c3a5d73ed1
183457,45865,2804751770,"=""4719979491986127970""",2,True,24c3a5d73ed1
183473,45869,2805256302,514688789496846,15290,True,24c3a5d73ed1
183481,45871,2805485656,"=""1388955838257176168""",6,True,24c3a5d73ed1
183497,45875,2805974960,"=""4724097282882226000""",2,True,24c3a5d73ed1
183505,45877,2806219630,"=""4724921164272182510""",2,True,24c3a5d73ed1
183521,45881,2806709004,"=""2148440569866383364""",4,True,24c3a5d73ed1
183529,45883,2806953708,"=""1390409841696860868""",6,True,24c3a5d73ed1
183545,45887,2807443140,"=""4729042187792392620""",2,True,24c3a5d73ed1
183553,45889,2807687930,"=""136701352896375970""",58,True,24c3a5d73ed1
183569,45893,2808192670,515497120239230,15298,True,24c3a5d73ed1
183577,45895,2808422140,"=""4732340947056885620""",2,True,24c3a5d73ed1
183593,45899,2808911730,"=""285180181778977170""",28,True,24c3a5d73ed1
183601,45901,2809156504,"=""2152189160090525864""",4,True,24c3a5d73ed1
183617,45905,2809646130,"=""4736466822684740010""",2,True,24c3a5d73ed1
183625,45907,2809890960,"=""4737292321443942000""",2,True,24c3a5d73ed1
183641,45911,2810380800,"=""52772203699699200""",150,True,24c3a5d73ed1
183649,,,,500000,False,24c3a5d73ed1
183665,45917,2811115270,"=""4741421433925188470""",2,True,24c3a5d73ed1
183673,45919,2811360178,"=""504494425940396738""",16,True,24c3a5d73ed1
183689,45923,2811849986,"=""2156318272761295522""",4,True,24c3a5d73ed1
183697,45925,2812094910,"=""4744726666896649950""",2,True,24c3a5d73ed1
183713,45929,2812585970,"=""6717211881985930""",1178,True,24c3a5d73ed1
183721,45931,2812829758,"=""1032001464251127446""",8,True,24c3a5d73ed1
183737,45935,2813319700,"=""4748860637831534300""",2,True,24c3a5d73ed1
183745,45937,2813564690,"=""4749687756075312970""",2,True,24c3a5d73ed1
183761,45941,2814056888,"=""3619797354570376""",2188,True,24c3a5d73ed1
183769,,,,500000,False,24c3a5d73ed1
183785,45947,2814789800,"=""4753824968095634200""",2,True,24c3a5d73ed1
183793,45949,2815034860,"=""1033620161926080740""",8,True,24c3a5d73ed1
183809,45953,2815540310,517521648840790,15318,True,24c3a5d73ed1
183817,45955,2815770080,"=""4757136683238153760""",2,True,24c3a5d73ed1
183833,45959,2816260342,"=""132927186802543406""",60,True,24c3a5d73ed1
183841,45961,2816505414,"=""580441661604810054""",14,True,24c3a5d73ed1
183857,45965,2816995670,"=""4761278760062253670""",2,True,24c3a5d73ed1
183865,45967,2817240820,"=""4762107499907322620""",2,True,24c3a5d73ed1
183881,45971,2817746474,518130039385594,15324,True,24c3a5d73ed1
183889,45973,2817976338,"=""1401351286863416058""",6,True,24c3a5d73ed1
183905,45977,2818466730,"=""4766252822051669010""",2,True,24c3a5d73ed1
183913,45979,2818712060,"=""67522413701311540""",118,True,24c3a5d73ed1
183929,45983,2819202720,"=""25019631944035680""",318,True,24c3a5d73ed1
183937,45985,2819447650,"=""4769571027834865850""",2,True,24c3a5d73ed1
183953,45989,2819938176,"=""2168741265306118272""",4,True,24c3a5d73ed1
183961,45991,2820183454,"=""2169118555602190214""",4,True,24c3a5d73ed1
183977,45995,2820674040,"=""4773721221137278920""",2,True,24c3a5d73ed1
183985,45997,2820919350,"=""4774551584701734150""",2,True,24c3a5d73ed1
184001,46001,2821410098,"=""81505337872409386""",98,True,24c3a5d73ed1
184009,46003,2821655402,"=""133436967138720826""",60,True,24c3a5d73ed1
184025,46007,2822146060,"=""4778705027561968100""",2,True,24c3a5d73ed1
184033,,,,500000,False,24c3a5d73ed1
184049,46013,2822882216,"=""2173271998652318872""",4,True,24c3a5d73ed1
184057,46015,2823127620,"=""4782029732460991020""",2,True,24c3a5d73ed1
184073,46019,2823618468,"=""1406968453558263948""",6,True,24c3a5d73ed1
184081,,,,500000,False,24c3a5d73ed1
184097,46025,2824354810,"=""4786188052837726850""",2,True,24c3a5d73ed1
184105,46027,2824600280,"=""4787020042241046760""",2,True,24c3a5d73ed1
184121,46031,2825091260,"=""825635234484741940""",10,True,24c3a5d73ed1
184129,46033,2825336756,"=""2177053029394100572""",4,True,24c3a5d73ed1
184145,46037,2825827790,"=""4791181616415942670""",2,True,24c3a5d73ed1
184153,,,,500000,False,24c3a5d73ed1
184169,46043,2826564436,"=""584595107724167132""",14,True,24c3a5d73ed1
184177,46045,2826809990,"=""4794512828911470070""",2,True,24c3a5d73ed1
184193,46049,2827301168,"=""510231820230624208""",16,True,24c3a5d73ed1
184201,46051,2827546806,"=""143623127833305918""",56,True,24c3a5d73ed1
184217,46055,2828037980,"=""4798679286965450260""",2,True,24c3a5d73ed1
