n,x,y,z,steps,solved,run_id
83041,20762,246299607,"=""60663496162054842""",1000002,True,ddfc760d9ae1
83089,20774,246584416,"=""16370273580278176""",1000004,True,ddfc760d9ae1
83233,20810,247439820,"=""42858524917702860""",1000002,True,ddfc760d9ae1
83449,20865,158287584,"=""7066783219510560""",2000004,True,ddfc760d9ae1
83689,20928,76149798,67977604744768,5000086,True,ddfc760d9ae1
83713,20930,250301871,"=""62651026375798770""",1000002,True,ddfc760d9ae1
83761,20942,250589142,388307546776647,1000162,True,ddfc760d9ae1
83833,20960,251019955,"=""88215424680462880""",1000001,True,ddfc760d9ae1
83953,20990,251739070,"=""22180395525823645""",1000003,True,ddfc760d9ae1
84049,21014,252315099,"=""63662908931064702""",1000002,True,ddfc760d9ae1
84121,21033,160847046,554755188619206,2000047,True,ddfc760d9ae1
84241,21062,253469152,"=""3686280706442272""",1000018,True,ddfc760d9ae1
84289,21074,253758061,"=""10993952786665306""",1000006,True,ddfc760d9ae1
84481,21122,254915400,"=""3854855915424600""",1000017,True,ddfc760d9ae1
84649,21164,255930207,"=""35269376358334404""",1000002,True,ddfc760d9ae1
84673,21170,256075345,"=""91804414987541290""",1000001,True,ddfc760d9ae1
84769,21194,256656327,"=""4476769562022474""",1000015,True,ddfc760d9ae1
84841,21214,119988104,47090411307736,3000306,True,ddfc760d9ae1
84889,21224,257383449,"=""66246239561752152""",1000002,True,ddfc760d9ae1
85033,21260,258257370,"=""46687808153264460""",1000002,True,ddfc760d9ae1
85249,21314,259571176,450898753689016,1000150,True,ddfc760d9ae1
85369,21346,121485780,"=""8514689152865220""",3000002,True,ddfc760d9ae1
85513,21380,261181135,"=""95501819130662380""",1000001,True,ddfc760d9ae1
85633,21410,261914650,"=""24009749097703225""",1000003,True,ddfc760d9ae1
85729,21434,262502199,"=""68907404217333402""",1000002,True,ddfc760d9ae1
85873,21470,263384760,"=""48560071996795560""",1000002,True,ddfc760d9ae1
86041,21512,264416364,880237316261448,1000080,True,ddfc760d9ae1
86113,21530,264858985,"=""98210394444463330""",1000001,True,ddfc760d9ae1
86161,21542,265160478,11423245972479,1006155,True,ddfc760d9ae1
