n,x,y,z,steps,solved,run_id
30505,7627,77553880,"=""3608762504278760""",2,True,4dea7238a2e7
30521,7631,77635258,786160785589946,8,True,4dea7238a2e7
30529,7633,77675958,"=""1064744825480118""",6,True,4dea7238a2e7
30545,7637,77757390,"=""3627726942009870""",2,True,4dea7238a2e7
30553,,,,500000,False,4dea7238a2e7
30569,7643,77879626,"=""1654155234638522""",4,True,4dea7238a2e7
30577,7645,77920390,"=""3642952228730870""",2,True,4dea7238a2e7
30593,7649,78004502,2386391729686,2550,True,4dea7238a2e7
30601,7651,78042774,257352368729694,24,True,4dea7238a2e7
30617,7655,78124380,"=""3662051172106260""",2,True,4dea7238a2e7
30625,7657,78165210,"=""3665879954441250""",2,True,4dea7238a2e7
30641,7661,78246916,390802891764428,16,True,4dea7238a2e7
30649,,,,500000,False,4dea7238a2e7
30665,7667,78369520,"=""3685068920648720""",2,True,4dea7238a2e7
30673,,,,500000,False,4dea7238a2e7
30689,7673,78494790,2408926610310,2558,True,4dea7238a2e7
30697,7675,78533160,"=""3700474253218200""",2,True,4dea7238a2e7
30713,7679,78615408,16901605181328,366,True,4dea7238a2e7
30721,,,,500000,False,4dea7238a2e7
30737,7685,78737950,"=""3719798783383550""",2,True,4dea7238a2e7
30745,7687,78778940,"=""3723672753735220""",2,True,4dea7238a2e7
30761,7691,78861490,11523950672210,540,True,4dea7238a2e7
30769,7693,78901982,644019517325086,10,True,4dea7238a2e7
30785,7697,78984050,"=""3743088013657450""",2,True,4dea7238a2e7
30793,7699,79025120,353488765749280,18,True,4dea7238a2e7
30809,7703,79109810,2437294136290,2568,True,4dea7238a2e7
30817,7705,79148330,"=""3758674805925010""",2,True,4dea7238a2e7
30833,7709,79230536,"=""1712039330273272""",4,True,4dea7238a2e7
30841,7711,79271654,"=""1713816773790814""",4,True,4dea7238a2e7
30857,7715,79353920,"=""3778226692265920""",2,True,4dea7238a2e7
30865,7717,79395070,"=""3782146204787870""",2,True,4dea7238a2e7
30881,7721,79477768,17180470675256,368,True,4dea7238a2e7
30889,7723,79518588,"=""1115859774160308""",6,True,4dea7238a2e7
30905,7727,79600980,"=""3801789530575260""",2,True,4dea7238a2e7
30913,7729,79642212,322519340641836,20,True,4dea7238a2e7
30929,7733,79724656,"=""1733460131453072""",4,True,4dea7238a2e7
30937,7735,79765900,"=""3817559201920100""",2,True,4dea7238a2e7
30953,7739,79848446,269398835445142,24,True,4dea7238a2e7
30961,,,,500000,False,4dea7238a2e7
30977,7745,79972290,"=""3837340220734170""",2,True,4dea7238a2e7
30985,7747,80013600,"=""3841305630962400""",2,True,4dea7238a2e7
31001,7751,80096258,836792599764946,8,True,4dea7238a2e7
31009,7753,80137596,"=""1751463817860372""",4,True,4dea7238a2e7
31025,7757,80220310,"=""3861178801677350""",2,True,4dea7238a2e7
31033,,,,500000,False,4dea7238a2e7
31049,7763,80344632,38046638071176,170,True,4dea7238a2e7
31057,7765,80385870,"=""3877132777008270""",2,True,4dea7238a2e7
31073,7769,80468718,"=""1142684844807198""",6,True,4dea7238a2e7
31081,,,,500000,False,4dea7238a2e7
31097,7775,80593060,"=""3897144711505100""",2,True,4dea7238a2e7
31105,7777,80634530,"=""3901156376358010""",2,True,4dea7238a2e7
31121,7781,80717584,77872369881584,84,True,4dea7238a2e7
31129,,,,500000,False,4dea7238a2e7
31145,7787,80842040,"=""3921261177974920""",2,True,4dea7238a2e7
31153,,,,500000,False,4dea7238a2e7
31169,7793,80966696,276997349786392,24,True,4dea7238a2e7
31177,7795,81008240,"=""3937400887730320""",2,True,4dea7238a2e7
31193,7799,81091406,"=""1793404317196822""",4,True,4dea7238a2e7
31201,7801,81133010,680954951107690,10,True,4dea7238a2e7
31217,7805,81216230,"=""3957645528031510""",2,True,4dea7238a2e7
31225,7807,81257860,"=""3961703805809900""",2,True,4dea7238a2e7
31241,7811,81341186,185506139403298,36,True,4dea7238a2e7
31249,,,,500000,False,4dea7238a2e7
31265,7817,81466170,"=""3982042031215170""",2,True,4dea7238a2e7
31273,7819,81507866,"=""1811872342094122""",4,True,4dea7238a2e7
31289,7823,81591438,42765417904758,156,True,4dea7238a2e7
31297,7825,81633010,"=""3998368911363050""",2,True,4dea7238a2e7
31313,7829,81716550,115796355460950,58,True,4dea7238a2e7
31321,7831,81758264,489103362068104,14,True,4dea7238a2e7
31337,7835,81841800,"=""4018848054502200""",2,True,4dea7238a2e7
31345,7837,81883590,"=""4022953304889270""",2,True,4dea7238a2e7
31361,7841,81967204,"=""1832351517553964""",4,True,4dea7238a2e7
31369,7843,82009026,"=""1834221830391522""",4,True,4dea7238a2e7
31385,7847,82092700,"=""4043526753881300""",2,True,4dea7238a2e7
31393,7849,82134568,430601232368408,16,True,4dea7238a2e7
31409,7853,82218506,31637434453282,214,True,4dea7238a2e7
31417,7855,82260180,"=""4060042245919260""",2,True,4dea7238a2e7
31433,7859,82343988,"=""1196564451728508""",6,True,4dea7238a2e7
31441,7861,82385908,885317896351196,8,True,4dea7238a2e7
31457,7865,82469770,"=""4080757695841970""",2,True,4dea7238a2e7
31465,7867,82511720,"=""4084910279903320""",2,True,4dea7238a2e7
31481,7871,82595656,"=""1203889750946168""",6,True,4dea7238a2e7
31489,,,,500000,False,4dea7238a2e7
31505,7877,82721630,"=""4105720759192510""",2,True,4dea7238a2e7
31513,,,,500000,False,4dea7238a2e7
31529,7883,82847716,502225091280332,14,True,4dea7238a2e7
31537,7885,82889750,"=""4122426310147750""",2,True,4dea7238a2e7
31553,7889,82973880,897999668624520,8,True,4dea7238a2e7
31561,,,,500000,False,4dea7238a2e7
31577,7895,83100140,"=""4143379877711620""",2,True,4dea7238a2e7
31585,7897,83142250,"=""4147580157895250""",2,True,4dea7238a2e7
31601,7901,83229134,2630123863534,2634,True,4dea7238a2e7
31609,,,,500000,False,4dea7238a2e7
31625,7907,83352960,"=""4168629481104000""",2,True,4dea7238a2e7
31633,7909,83395136,"=""1896749564366272""",4,True,4dea7238a2e7
31649,7913,83479526,509914399046182,14,True,4dea7238a2e7
31657,7915,83521720,"=""4185526543533320""",2,True,4dea7238a2e7
31673,7919,83606718,12579550396998,556,True,4dea7238a2e7
31681,7921,83648430,235855866063870,30,True,4dea7238a2e7
31697,7925,83732910,"=""4206720046507950""",2,True,4dea7238a2e7
31705,7927,83775180,"=""4210968386644260""",2,True,4dea7238a2e7
31721,7931,83859754,"=""1917943100033114""",4,True,4dea7238a2e7
31729,,,,500000,False,4dea7238a2e7
31745,7937,83986690,"=""4232258374306970""",2,True,4dea7238a2e7
31753,7939,84029028,"=""1246037130081228""",6,True,4dea7238a2e7
31769,7943,84113738,451603378886218,16,True,4dea7238a2e7
31777,7945,84156090,"=""4249348406296770""",2,True,4dea7238a2e7
31793,7949,84243502,2678353659086,2650,True,4dea7238a2e7
31801,7951,84283254,"=""1937363617033614""",4,True,4dea7238a2e7
31817,7955,84368080,"=""4270783669363760""",2,True,4dea7238a2e7
31825,7957,84410510,"=""4275080434665550""",2,True,4dea7238a2e7
31841,7961,84495406,"=""1259907027581918""",6,True,4dea7238a2e7
31849,,,,500000,False,4dea7238a2e7
31865,7967,84622820,"=""4296612914228620""",2,True,4dea7238a2e7
31873,,,,500000,False,4dea7238a2e7
31889,7973,84750336,"=""1958896129462272""",4,True,4dea7238a2e7
31897,7975,84792860,"=""4313897379394900""",2,True,4dea7238a2e7
31913,7979,84877958,459846793052878,16,True,4dea7238a2e7
31921,7981,84920508,940629394946196,8,True,4dea7238a2e7
31937,7985,85005650,"=""4335576234147850""",2,True,4dea7238a2e7
31945,7987,85048240,"=""4339921791210320""",2,True,4dea7238a2e7
31961,7991,85133494,165978047705774,44,True,4dea7238a2e7
31969,,,,500000,False,4dea7238a2e7
31985,7997,85261350,"=""4361698597032150""",2,True,4dea7238a2e7
31993,7999,85304010,949144365402090,8,True,4dea7238a2e7
32009,8003,85389360,412717431660240,18,True,4dea7238a2e7
32017,8005,85432030,"=""4379178964520510""",2,True,4dea7238a2e7
32033,8009,85517536,70545724419872,104,True,4dea7238a2e7
32041,8011,85560210,122690688773490,60,True,4dea7238a2e7
32057,8015,85645620,"=""4401103249465020""",2,True,4dea7238a2e7
32065,8017,85688370,"=""4405497966265770""",2,True,4dea7238a2e7
32081,8021,85774106,35772348229618,206,True,4dea7238a2e7
32089,8023,85816706,311176267508242,24,True,4dea7238a2e7
32105,8027,85902280,"=""4427520939616760""",2,True,4dea7238a2e7
32113,8029,85945098,"=""1303510479389538""",6,True,4dea7238a2e7
32129,8033,86030762,765650811586546,10,True,4dea7238a2e7
32137,8035,86073600,"=""4445198684102400""",2,True,4dea7238a2e7
32153,8039,86159326,"=""2024571583870022""",4,True,4dea7238a2e7
32161,8041,86202204,"=""2026587179558964""",4,True,4dea7238a2e7
32177,8045,86287990,"=""4467370244656070""",2,True,4dea7238a2e7
32185,8047,86330900,"=""4471814490555100""",2,True,4dea7238a2e7
32201,8051,86416778,269922546832666,28,True,4dea7238a2e7
32209,,,,500000,False,4dea7238a2e7
32225,8057,86545610,"=""4494085479617650""",2,True,4dea7238a2e7
32233,,,,500000,False,4dea7238a2e7
32249,8063,86674566,"=""2048858201858622""",4,True,4dea7238a2e7
32257,8065,86717570,"=""4511962081305370""",2,True,4dea7238a2e7
32273,8069,86803632,383128923114576,20,True,4dea7238a2e7
32281,,,,500000,False,4dea7238a2e7
32297,8075,86932760,"=""4534382769797800""",2,True,4dea7238a2e7
32305,8077,86975830,"=""4538876915537510""",2,True,4dea7238a2e7
32321,8081,87064694,2814017974774,2694,True,4dea7238a2e7
32329,8083,87105106,"=""2069263410514322""",4,True,4dea7238a2e7
32345,8087,87191340,"=""4561397775406020""",2,True,4dea7238a2e7
32353,,,,500000,False,4dea7238a2e7
32369,8093,87323470,2826573400430,2698,True,4dea7238a2e7
32377,8095,87363940,"=""4579474720030220""",2,True,4dea7238a2e7
32393,8099,87450312,791126505883896,10,True,4dea7238a2e7
32401,,,,500000,False,4dea7238a2e7
32417,8105,87579930,"=""4602146395703010""",2,True,4dea7238a2e7
32425,8107,87623160,"=""4606690813408200""",2,True,4dea7238a2e7
32441,8111,87712354,2845476476114,2704,True,4dea7238a2e7
32449,,,,500000,False,4dea7238a2e7
32465,8117,87839470,"=""4629463406089070""",2,True,4dea7238a2e7
32473,8119,87882770,"=""1007397468144130""",8,True,4dea7238a2e7
32489,8123,87969400,438034742390600,18,True,4dea7238a2e7
32497,8125,88012710,"=""4647742184913750""",2,True,4dea7238a2e7
32513,8129,88099396,"=""2116773614327372""",4,True,4dea7238a2e7
32521,8131,88142756,"=""1371025576905868""",6,True,4dea7238a2e7
32537,8135,88229500,"=""4670666713920500""",2,True,4dea7238a2e7
32545,8137,88272890,"=""4675261777098370""",2,True,4dea7238a2e7
32561,8141,88360088,20139649777576,388,True,4dea7238a2e7
32569,8143,88403128,"=""1379137506923528""",6,True,4dea7238a2e7
