batch_k,candidates,survivors,survivor_n,is_prime
3097,2101514,94,80160989973289,False
3097,2101514,94,80154400504201,False
3097,2101514,94,80165144343001,False
3097,2101514,94,80160631843009,False
3097,2101514,94,80170230011089,False
3097,2101514,94,80147238345001,False
3097,2101514,94,80149458580129,False
3097,2101514,94,80172164039881,False
3097,2101514,94,80161921115761,False
3097,2101514,94,80151392358361,False
3097,2101514,94,80150353844929,False
3097,2101514,94,80171590991881,False
3097,2101514,94,80169764415049,False
3097,2101514,94,80146665386089,False
3097,2101514,94,80146916055361,False
3097,2101514,94,80170552347601,False
3097,2101514,94,80159378393329,False
3097,2101514,94,80149780874881,False
3097,2101514,94,80163532721281,False
3097,2101514,94,80163138771769,False
3097,2101514,94,80151213303841,False
3097,2101514,94,80155367420209,False
3097,2101514,94,80148097787209,False
3097,2101514,94,80170409086849,False
3097,2101514,94,80163246212449,False
3097,2101514,94,80154937679041,False
3097,2101514,94,80158375640641,False
3097,2101514,94,80167722971449,False
3097,2101514,94,80165717367961,False
3097,2101514,94,80171483545609,False
3097,2101514,94,80159020266649,False
3097,2101514,94,80147023485169,False
3097,2101514,94,80157981703801,False
3097,2101514,94,80159485831489,False
3097,2101514,94,80162458315801,False
3097,2101514,94,80146880245441,False
3097,2101514,94,80146701195961,False
3097,2101514,94,80152932235489,False
3097,2101514,94,80161419730681,False
3097,2101514,94,80171805884641,False
3097,2101514,94,80168689967809,False
3097,2101514,94,80167651342321,False
3097,2101514,94,80161634609809,False
3097,2101514,94,80168904856681,False
3097,2101514,94,80156441778169,False
3097,2101514,94,80169334635289,False
3097,2101514,94,80165180157001,False
3097,2101514,94,80150640330721,False
3098,2101514,86,80194586150449,False
3098,2101514,86,80179004958529,False
3098,2101514,86,80182121075809,False
3098,2101514,86,80196663757081,False
3098,2101514,86,80193511536889,False
3098,2101514,86,80174850229681,False
3098,2101514,86,80177930449369,False
3098,2101514,86,80180007840241,False
3098,2101514,86,80183625429961,False
3098,2101514,86,80181619627561,False
3098,2101514,86,80184735795649,False
3098,2101514,86,80173990644049,False
3098,2101514,86,80178790056121,False
3098,2101514,86,80194371227161,False
3098,2101514,86,80190216100201,False
3098,2101514,86,80172558011569,False
3098,2101514,86,80175029310601,False
3098,2101514,86,80190610116241,False
3098,2101514,86,80184377612329,False
3098,2101514,86,80187493834009,False
3098,2101514,86,80185022342881,False
3098,2101514,86,80177285747329,False
3098,2101514,86,80187959481529,False
3098,2101514,86,80185595438881,False
3098,2101514,86,80188998238561,False
3098,2101514,86,80184843250801,False
3098,2101514,86,80182479254089,False
3098,2101514,86,80197057788961,False
3098,2101514,86,80175244207969,False
3098,2101514,86,80197272715849,False
3098,2101514,86,80183553793729,False
3098,2101514,86,80186884912369,False
3098,2101514,86,80194514509321,False
3098,2101514,86,80183088159001,False
3098,2101514,86,80183195613049,False
3098,2101514,86,80189320612801,False
3098,2101514,86,80188281853681,False
3098,2101514,86,80172808721329,False
3098,2101514,86,80193869740609,False
3098,2101514,86,80195266742761,False
3098,2101514,86,80175172575481,False
3098,2101514,86,80179685484721,False
3098,2101514,86,80173095247249,False
3098,2101514,86,80185559620321,False
3098,2101514,86,80180724188161,False
